"LocalityString"	"Drainage"	"Country"	"State"	"County"	"Continent"
Santa Clara River above confluence with Moody Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 1 mi. above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Beaverdam Creek at Beaverdam.	Colorado River	United States of America	Arizona	Mohave	North America
Moody Creek (Great Falls Area); trib. to Mogotsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek, halfway between Great Falls & Super Hole.	Colorado River	United States of America	Utah	Washington	North America
Hot Springs, 0.25 mi. above Veyo.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek, trib. to Mogotsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Silver Lake; T18N R5,6W Secs. 25 & 30.	Lake Michigan	United States of America	Michigan	Clare	North America
Moody Creek (super hole); trib. to Mogotsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Hurricane Creek 2.8 mi. N of Sandy Hook on MS Hwy. 35.	Pearl River	United States of America	Mississippi	Marion	North America
Dismal Creek at its mouth in Kimberling Creek at County Road 606 crossing.	New River	United States of America	Virginia	Bland	North America
Little Walker Creek at Route 100 crossing on farm of Theo. T. Dulaney.	New River	United States of America	Virginia	Giles	North America
Little Walker Creek 2.6 mi. W on County Road 601 from jct. 601 & 100.	New River	United States of America	Virginia	Pulaski	North America
Guantanamo River at bridge.	Caribbean Sea	Cuba	Oriente		North America
Nevins Lake; T10N R7W Secs. 4 & 9.	Lake Michigan	United States of America	Michigan	Montcalm	North America
Pushepatapa trib. of Pearl River 7.8 mi. N on LA Hwy. 21 from Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Guantanamo River, 0.75 mi. below bridge.	Caribbean Sea	Cuba	Oriente		North America
Cedar Creek trib. to Clinch River just below mouth of Burgess Creek in Cedar Creek.	Clinch River	United States of America	Virginia	Russell	North America
Big Moccasin Creek at McConnell.	Tennessee River	United States of America	Virginia	Scott	North America
Jackson River 8.5 mi. S of Bacona on County Road 603.	James River	United States of America	Virginia	Bath	North America
Hawksbill Creek, 1 mi. S of Luray.	Potomac River	United States of America	Virginia	Page	North America
Jackson River 7 mi. S of Bacona on County Road 603.	James River	United States of America	Virginia	Bath	North America
Cub Run on Route 33, 5.3 mi. SW Harrisonville at Penn Laird.	Potomac River	United States of America	Virginia	Rockingham	North America
Black Creek 2 mi. below Sherando Lake Bridge off County Road 814 at entrance Sherando Lake.	?	United States of America	Virginia	Augusta	North America
Guantanamo River, 0.25 to 0.5 mi. upstream from mouth.	Caribbean Sea	Cuba	Oriente		North America
Lake Pontchartrain, 2 mi. W of South Draw.	Lake Pontchartrain	United States of America	Louisiana		North America
Pecos River 12 mi. N of jct. 290-349 on Hwy. 349 (S of Iraan).	Pecos River	United States of America	Texas	Pecos	North America
Pecos River, TX Hwy. 1053 N of Imperial.	Pecos River	United States of America	Texas	Crane-Pecos	North America
Ditch below Orient Reservoir Dam, Ranch Road 2593.	Pecos River	United States of America	Texas	Pecos	North America
Pascagoula River just below mouth of Robison Bayou.	Pascagoula River	United States of America	Mississippi	Jackson	North America
Pascagoula River, 2 mi. S of Kirkwood Lake (oxbow lake).	Pascagoula River	United States of America	Mississippi	Jackson	North America
Bitter Lakes National Wildlife Refuge (last sinkhole with fish along road).	Pecos River	United States of America	New Mexico	Chaves	North America
Isolated pool near spring at upper end Unit 4, Bitter Lakes National Wildlife Refuge.	Pecos River	United States of America	New Mexico	Chaves	North America
Bitter Lakes National Wildlife Refuge, spring at upper end of Unit 4.	Pecos River	United States of America	New Mexico	Chaves	North America
Comanche Draw just inside entrance to Bottomless Lakes State Park.	Pecos River	United States of America	New Mexico	Chaves	North America
Salt Creek Wilderness Area (single large sunken pothole).	Pecos River	United States of America	New Mexico	Chaves	North America
Oxbow on Pecos River at Bitter Lakes Wildlife Refuge.	Pecos River	United States of America	New Mexico	Chaves	North America
Mouth of Lost Creek, Bitter Lakes National Wildlife Refuge, Unit 4 near spring.	Pecos River	United States of America	New Mexico	Chaves	North America
Phantom Cave Spring in downstream ditch.	Pecos River	United States of America	Texas	Reeves	North America
Outflow irrigation ditches from San Solomon Springs, E of Toyavale.	Pecos River	United States of America	Texas	Reeves	North America
Alamito Creek, 5 mi. E of Presidio.	Rio Grande	United States of America	Texas	Presidio	North America
Rio Naranjo just off Pan-American Hwy., just E of Puntarenas	Rio Naranjo	Costa Rica	Puntarenas		North America
Salt Creek, White Sands Missle Range.	Rio Grande	United States of America	New Mexico	Otero	North America
Salt Creek, White Sands Missle Range (downstream).	Rio Grande	United States of America	New Mexico	Otero	North America
Cottonwood Spring, Bitter Lakes National Wildlife Refuge.	Pecos River	United States of America	New Mexico	Chaves	North America
Salt Creek at Hwy. 652 bridge.	Pecos River	United States of America	Texas	Reeves	North America
Creek 0.6 mi. N of Big Spring.	Colorado River	United States of America	Texas	Howard	North America
Creek at I-20, W of Big Spring, E of Moobe Field Road exit.	Colorado River	United States of America	Texas	Howard	North America
Toyah Creek at Balmoreah.	Pecos River	United States of America	Texas	Reeves	North America
Salt Creek at Hwy. 285 bridge N of Orla.	Pecos River	United States of America	Texas	Reeves	North America
Bottomless Lakes State Park.	Pecos River	United States of America	New Mexico	Chaves	North America
Bitter Lakes National Wildlife Refuge, pothole #2.	Pecos River	United States of America	New Mexico	Chaves	North America
Pecos River about 5 mi. SE of Malaga.	Pecos River	United States of America	New Mexico	Eddy	North America
Mouth of Loiza River, N side island.	Atlantic Ocean	United States of America	Puerto Rico		North America
Cahaba River at US Hwy. 280	Alabama River	United States of America	Alabama	Jefferson	North America
Cahaba River at US Hwy. 280	Alabama River	United States of America	Alabama	Jefferson	North America
Cahaba River at Bibb County Hwy. 27, 8.5 mi N Centerville	Alabama River	United States of America	Alabama	Bibb	North America
Thorofare Bay & Core Sound off Davis.	Atlantic Ocean	United States of America	North Carolina	Carteret	North America
Gulf of Mexico, off mouth of Oyster Bayou.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico off mouth of Oyster Bayou.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico off mouth of Oyster Bayou.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico at mouth of Oyster Bayou.	Gulf of Mexico	United States of America	Louisiana		North America
Gulf of Mexico off mouth of Oyster Bayou.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico off mouth of Oyster Bayou.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Roadside ditch 0.5 mi. N of Point-a-la-Hache, W side of Mississippi River.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Bayou Goreau.	Mississippi Delta	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico at Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Spring River 3 mi. S Mammoth Spring at Power Dam.	White River	United States of America	Arkansas	Fulton	North America
Long Reef, Gulf of Mexico.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Bay Hackberry.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Petit Jean Creek 3 mi. N Ola.	Arkansas River	United States of America	Arkansas	Yell	North America
Gulf of Mexico, Lake Pelto.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Bayou Goreau.	Mississippi Delta	United States of America	Louisiana	Terrebonne	North America
Lake Pelto.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
North Fork Illinois Bayou 10 mi. N Scottsville.	Arkansas River	United States of America	Arkansas	Polk	North America
Cox Creek @ Golden Valley Rd. bridge, ~1 mi NE of New Home; Broad River System	Santee River	United States of America	North Carolina	Cleveland	North America
Mouth of Bayou Grand Caillou.	Mississippi Delta	United States of America	Louisiana	Terrebonne	North America
Mouth of Atchafalaya River & Gulf of Mexico.	Atchafalaya Bay	United States of America	Louisiana	Terrebonne	North America
Whiskey Pass, 1 mi. out in Gulf of Mexico.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Bayou Taylor to Pass des Isle [off mouth of Bayou Taylor].	Mississippi Delta	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico, at Southwest Pass outside of Vermilion Bay.	Gulf of Mexico	United States of America	Louisiana	Plaquemines	North America
Phillips Ford Piney Creek 25  mi. N Dover.	Arkansas River	United States of America	Arkansas	Pope	North America
"4 mi. W mouth Atchafalaya River."	Gulf of Mexico	United States of America	Louisiana	St. Mary	North America
Lake Pelto, 8' depth.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Lake Mechant.	Mississippi Delta	United States of America	Louisiana	Terrebonne	North America
Trib. of Sabine River, 15 mi. SW of Negreet.	Sabine River	United States of America	Louisiana	Sabine	North America
Bayou Cherbonne.	Mississippi Delta	United States of America	Louisiana	Terrebonne	North America
Río Juanillo at Hwy 101 S San Fernando de Presas	Río San Fernando Basin	Mexico	Tamaulipas		North America
Big Sunflower River at Hwy 49W S Indianola	Mississippi River	United States of America	Mississippi	Sunflower	North America
Ouachita River from Forsythe Park to mouth of Bayou D'Arbonne	Mississippi River	United States of America	Louisiana	Ouachita	North America
Unnamed Trib to South Fork Mills River, French Broad System; off S. Mills River Rd., ~2.4 mi W of State Rte. 191/280	Tennessee River	United States of America	North Carolina	Henderson	North America
~1 mi N of Vashti on Vashiti Rd.	Pee Dee River	United States of America	North Carolina	Alexander	North America
Mulberry Creek 4 miles N Mulberry at SR 18 just below SR 1722 (Bob Hall Rd/Mulberry Cr. Rd. jct.)	Pee Dee River	United States of America	North Carolina	Wilkes	North America
Glades Creek @ McCall Rd. bridge between US Rt. 70 and I40, ~3 mi ESE of Marion	Santee River	United States of America	North Carolina	McDowell	North America
Little Cove Creek @ Little Cove Rd bridge, ~2.5 mi N of Redbud	Black Warrior River	United States of America	Alabama	Etowah	North America
Peters Creek @ State Rt. 704 bridge, 2.5 mi NE of 89 & 704 junction, ~3.5 mi WNW of Lawsonville; in Dan River system	Roanoke River	United States of America	North Carolina	Stokes	North America
West Prong of the Roaring Fork River, Adams Rd. crossing off Traphill Rd., ~5 mi ENE of Mulberry; Yadkin River System	Pee Dee River	United States of America	North Carolina	Wilkes	North America
Brushy Fk Ck off TN 48. N of Aetna.	Duck River	United States of America	Tennessee	Hickman	North America
Freeport Sulphur Lake, Port Sulphur 	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Little Schultz Creek off CR 26, near Little Schultz Baptist Church, ~5 mi N of Centreville	Alabama	United States of America	Alabama	Bibb	North America
Shelton Laurel Creek @ State Rt. 212, behind Laurel Elem., ~.5 mi N of White Rock; French Broad System	Tennessee River	United States of America	North Carolina	Madison	North America
Pass des Isle.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
West Prong of the Little Yadkin River, at Volunteer Rd. bridge, ~5 mi NW of King	Pee Dee River	United States of America	North Carolina	Stokes	North America
West Fork of the Little River @ Abner Rd. bridge, ~1.2 mi SE of State Rt. 134, ~8 mi N of Troy	Pee Dee River	United States of America	North Carolina	Montgomery	North America
Paddy Creek at State Rt. 126 crossing, ~.5 mi N of Lake James, ~8.5 mi ENE of Marion; Catawba River System	Santee River	United States of America	North Carolina	Burke	North America
Ostin Creek near bridge @ Silver Creek Rd., ~3.5 mi W of State Rt. 108, ~6.8 mi NE of Lyman; Broad River System	Santee River	United States of America	North Carolina	Polk	North America
Ostin Creek, Enore River, downstream of bridge @ Hawkins Rd. off State Rt. 25, ~2 mi ENE of Travelers Rest	Santee River	United States of America	South Carolina	Greenville	North America
Boiler Branch, trib to Bear Creek @ C. R. 34 bridge, ~.5 mi NE of Orange at border of Bankhead National Forest	Tennesse River	United States of America	Alabama	Franklin	North America
Crump Branch, trib to the Blackburn Fork of Little Warrier River @ C.R. 15 bridge, ~.75 mi NW of Hendrick Mill	Black Warrior River	United States of America	Alabama	Blount	North America
Big Bigby Creek	Tennessee River	United States of America	Tennessee	Unknown	North America
Bayou Segnette at Pipline Canal	Mississippi	United States of America	Louisiana	Jefferson	North America
Pearl River along right bank at Wanilla Water Park boat ramp.	Pearl River	United States of America	Mississippi	Lawrence	North America
Pearl River along right bank at bend above Sandifer Bridge.	Pearl River	United States of America	Mississippi	Lawrence	North America
Beaver Creek, 4.1 mi NNE Butler, GA on Hwy 137	Apalachichola River	United States of America	Georgia	Taylor	North America
Ajkwa River on West Bank at site S265	Arafura Sea	Indonesia	Irian Jaya	Unknown	Asia
Ajkwa River on west bank at site S265	Arafura Sea	Indonesia	Irian Jaya	Unknown	Asia
East Minjerwi River at site S-420	Arafura Sea	Indonesia	Irian Jaya	Unknown	Asia
Devils River @ Hwy 163, Bakers Crossing, N of Comstock	Rio Grande	United States of America	Texas	Val Verde	North America
Little Pokegama at Hwy 105 crossing	Lake Superior	United States of America	Wisconsin	Douglas	North America
Chattahoochee River at GA Hwy 34, Franklin	Apalachicola River	United States of America	Georgia	Heard	North America
Pearl River along left bank at River Mile 54	Pearl River	United States of America	Mississippi	Pearl River	North America
South Llano River at Hwy 41, Junction	Colorado River	United States of America	Texas	Kimble	North America
Pearl River along left bank at cleared area along pipeline	Pearl River	United States of America	Mississippi	Lawrence	North America
Pearl River along right bank at overflow across pasture land about 0.5 mi. above powerline	Pearl River	United States of America	Mississippi	Lawrence	North America
Pearl River along left bank at Atwood Water Park boat ramp.	Pearl River	United States of America	Mississippi	Lawrence	North America
Brush Creek at CR 20 N Boligee - segment 1,2,7	Tombigbee River	United States of America	Alabama	Greene	North America
East Minajerwi River at site S-420	Arafura Sea	Indonesia	Irian Jaya	Unknown	Asia
Bayou LaBranche between Bayou Tangipahoa and Bayou Traverse at Station BLM	Lake Ponchartrain	United States of America	Louisiana	St. Charles	North America
Big Creek at US 165 near Pollock LA	Red River	United States of America	Louisiana	Grant	North America
Atlantic Ocean, 100 fathoms.	Atlantic Ocean				Atlantic Ocean
St. Andrew State Park, St. Andrew Bay and Gulf of Mexico	Gulf of Mexico	United States of America	Florida	Bay	
Trib to Wacoochee Creek, .25 miles NE of Powledge Valley; T19N, R28E, S16S	Apalachicola River	United States of America	Alabama	Lee	North America
St. Andrews Bay (also under Field # MFC06-01)	Gulf of Mexico	United States of America	Florida	Unknown	North America
@ CR 2; T 17S R 10E Sec. 31	Alabama River	United States of America	Alabama	Cleburne	North America
Barataria Preserve at North end of Lake Salvador	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve at North end of Lake Salvador	Mississippi	United States of America	Louisiana	Jefferson	Unknown
Barataria Preserve at Twin Canals boat launch	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve - Bayou Coquille at bridge	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve - northeast shore of Lake Salvador	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve - Bayou Segnette Waterway just north of Gulf Intracoastal Waterway	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve - at east end of Millaudon Canal	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve - East-west canal at intersection with North-south Canal at northwest side of park	Mississippi	United States of America	Louisiana	Jefferson	North America
Shirtee Creek at Sylacauga	Alabama River	United States of America	Alabama	Talladega	North America
"3 mi SE Ozark"	Choctawhatchee River	United States of America	Alabama	Dale	North America
Horse Creek ~ 3.0 miles S Sweetwater @ CR 7	Tombigbee River	United States of America	Alabama	Marengo	North America
Barataria Preserve at dead end of pipeline canal	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve - East shore of Lake Salvador	Mississippi	United States of America	Louisiana	Jefferson	North America
Barataria Preserve - south side of island on south side of Intracoastal Waterway	Mississippi	United States of America	Louisiana	Jefferson	North America
Martin Branch @ Lott Town Rd. bridge; 3 mi N Sumrall	Pascagoula River	United States of America	Mississippi	Covington	North America
Ostin Creek, Silver Creek Rd crossing, ~6mi NW Mill Spring	Santee River	United States of America	North Carolina	Polk	North America
Briar Creek @ Jonestown Rd/Golden Valley Rd Crossing, ~1km W of County line, ~25km NE of Forest City	Santee River	United States of America	North Carolina	Rutherford	North America
Apalachicola River at Ocheesee Landing	Apalachichola River	United States of America	Florida	Calhoun	North America
Ginhouse Creek; Ginhouse #3	Alabama River	United States of America	Alabama	Tallapoosa	North America
"3.2 miles E Enterprise on St. Hwy 134"	Choctawhatchee	United States of America	Alabama	Coffee	North America
not applicable, see remarks	Unknown	Unknown	Unknown	Unknown	Unknown
Tallapoosa River Horseshoe Bend Military Park	Alabama River	United States of America	Alabama	Tallapoosa	North America
Timbergut; T 23 N R 22E Sec 13	Alabama River	United States of America	Alabama	Tallapoosa	North America
Buck #1 Tallapoosa River	Alabama River	United States of America	Alabama	Tallapoosa	North America
Tallapoosa River @ Horseshoe Bend Military Park; stream 250 yd E Visitors Center	Alabama River	United States of America	Alabama	Tallapoosa	North America
Pentala Creek at CR 42	Alabama River	United States of America	Alabama	Montgomery	North America
Groups Creek; Blountsville		United States of America	Alabama	Blount	North America
Locust Fork, Wars Mill Bridge	Tombigbee River	United States of America	Alabama	Blount	North America
Mulberry Creek @ St. Hwy 14 @ Autauga/Dallas County  Line	Alabama River	United States of America	Alabama	Autauga	North America
"6 miles W Autaugaville"	Alabama River	United States of America	Alabama	Autauga	North America
Autauga Creek @ CR 40	Alabama River	United States of America	Alabama	Autauga	North America
High Pine Creek @ Hwy 77 ~1mile SE Abanda	Alabama River	United States of America	Alabama	Chambers	North America
"Caty Ceek ""60-237"""	Alabama River	United States of America	Alabama	Chambers	North America
Lago de Catemaco at outlet of San Andres Rio, 8 mi east of San Andres Tuxtla	Lago de Catemaco	Mexico	Veracruz	Unknown	North America
Hawk Island, mudboat cut off of Catfish Channel	Gulf of Mexico	United States of America	Louisiana	St. Marys Parish	North America
Bilboa Creek, 2.5 mi S McIntosh (jct. CR 35 on US Hy 43		United States of America	Alabama	Washington	North America
McKinney Pit Cave, about 2.5 miles (4 km) west of Tuscumbia, Colbert County, Alabama (Sec. 10, T. 4S, R. 12W).		United States of America	Alabama	Colbert	North America
Arroyo Penon Blanco at Penon Blanco	Rio Nazas	Mexico	Durango		North America
Neches River east bank below Town Bluff Dam	Neches River	United States of America	Texas	Jasper	North America
Copper Creek, from 0.6 to 1.1 rdmi. Upstream from jct. Rts.627 & 655, on Rt. 627, 3.1 airmi. NW center Gate City	Clinch River	United States of America	Virginia	Scott	North America
					
at highway TN 25	Tennessee River	United States of America	Tennessee	Grainger	North America
Mulberry Creek at US 82; T 21N R 12E Sec 33	Alabama River	United States of America	Alabama	Chilton	North America
Willow Island East Canal and front beach	Gulf of Mexico	United States of America	Louisiana	St. Marys Parish	North America
Little Schultz Creek	Tombigbee River	United States of America	Alabama	Etowah	North America
McKinney Pit Cave, about 2.5 miles (4 km) west of Tuscumbia, Colbert County, Alabama (Sec. 10, T. 4S, R. 12W).		United States of America	Alabama	Colbert	North America
Stream 0.1 mile E Browns Crossroads on AL 27	Choctawhatchee	United States of America	Alabama	Dale	North America
Lippard Creek @ Pumpkin Center Rd. bridge justr off Ivy Church Rd. ~5km SE Maiden	Santee River	United States of America	North Carolina	Lincoln	North America
South Fork Mills River behind Mills River Baptist Church off S. Mills River Rd ~14km NW Hendersonville	Tennessee River	United States of America	North Carolina	Henderson	North America
Ballard Creek @ Christopher Rd (Denver RD - 2001 NC Gazeteer) crossing ~3 km upstream from confluence with WIngate Creek ~ 12 km E Boger City	Santee River	United States of America	North Carolina	Lincoln	North America
Hickory Level Creek; GA Hwy 98 bridge, 4.6 km NE of Maysville	Savannah River	United States of America	Georgia	Banks	North America
Cane River along Jacks Creek Rd. ~ 4km W Bernsville	Tennessee River	United States of America	North Carolina	Yancey	North America
Gulf of Mexico ca. 9 km N Marquesas Keys; Depth: 20m	Unknown	United States of America	Florida	Unknown	North America
Hwy. 520 at Banana River		United States of America	Florida	Brevard	North America
St. James Parish Canal 3.8 mi. NNE Convent.	Lake Pontchartrain	United States of America	Louisiana	St. James	North America
Beaver Creek (trib to Bouie Creek) upstream of Marson Trigg Rd. Bridge ~3mi W of Sanford	Pascagoula River	United States of America	Mississippi	Covington	North America
Curry Creek (Trib to Okatoma Creek) @ old Hwy 49 bridge crossing ~1 mi NE of Sanford; Between road and old railroad bridge	Pascagoula River	United States of America	Mississippi	Covington	North America
		United States of America	Alabama		North America
Aquarium specimen.				""	
Aquarium specimen.	Unknown	Unknown	Unknown	Unknown	Unknown
NA: See remarks					
Castor Creek at State Hwy 34		United States of America	Missouri	Bollinger	North America
